noiseStandardDeviationNT,averageNT,min,max,noiseStandardDeviationT,averageT,Signal,SNR,Probability
10.0,11572,11540,11607,0.0,65535,53963,1737.88,3.09

No.,dataNT,dataT
1,11558,65535
2,11561,65535
3,11573,65535
4,11584,65535
5,11580,65535
6,11573,65535
7,11572,65535
8,11570,65535
9,11570,65535
10,11567,65535
11,11573,65535
12,11567,65535
13,11580,65535
14,11580,65535
15,11564,65535
16,11552,65535
17,11570,65535
18,11577,65535
19,11575,65535
20,11568,65535
21,11579,65535
22,11560,65535
23,11575,65535
24,11585,65535
25,11573,65535
26,11575,65535
27,11570,65535
28,11600,65535
29,11607,65535
30,11575,65535
31,11570,65535
32,11567,65535
33,11566,65535
34,11580,65535
35,11580,65535
36,11579,65535
37,11575,65535
38,11568,65535
39,11568,65535
40,11566,65535
41,11562,65535
42,11574,65535
43,11570,65535
44,11578,65535
45,11582,65535
46,11563,65535
47,11566,65535
48,11584,65535
49,11567,65535
50,11563,65535
51,11555,65535
52,11569,65535
53,11569,65535
54,11561,65535
55,11583,65535
56,11572,65535
57,11577,65535
58,11585,65535
59,11582,65535
60,11566,65535
61,11570,65535
62,11571,65535
63,11565,65535
64,11563,65535
65,11570,65535
66,11554,65535
67,11540,65535
68,11569,65535
69,11580,65535
70,11580,65535
71,11583,65535
72,11554,65535
73,11561,65535
74,11562,65535
75,11575,65535
76,11576,65535
77,11590,65535
78,11576,65535
79,11574,65535
80,11574,65535
81,11567,65535
82,11572,65535
83,11573,65535
84,11570,65535
85,11586,65535
86,11553,65535
87,11565,65535
88,11581,65535
89,11564,65535
90,11565,65535
91,11556,65535
92,11572,65535
93,11579,65535
94,11594,65535
95,11579,65535
96,11567,65535
97,11573,65535
98,11571,65535
99,11582,65535
100,11562,65535
